,y,x,street_count,highway,ref
846566630,-37.8232655,144.9701959,4,,
846566997,-37.8246134,144.9706436,3,,
847528091,-37.8233836,144.9673683,3,,
847528391,-37.8233892,144.9674099,3,,
847529551,-37.8236629,144.9673813,3,,
847531461,-37.8207156,144.9695057,3,,
847532415,-37.8210104,144.9675621,3,,
871135414,-37.8059867,144.979449,4,,
912832679,-37.8177483,144.9788379,3,,
912832700,-37.8177362,144.9787117,3,,
1131986101,-37.8149911,144.9448629,3,,
1131986113,-37.8150862,144.9450741,4,,
1131986163,-37.8149433,144.9450349,4,,
1132023834,-37.8189705,144.9465947,4,,
1132070461,-37.811777,144.9415817,3,,
1234672052,-37.8224634,144.9629627,1,,
1234672054,-37.8221711,144.9634245,4,,
1249500492,-37.8218406,144.962707,3,,
1449295035,-37.8157781,144.9791536,4,,
